$contributor.employer.matched
                                                   (Intercept)    cycle2020
Alpha Natural Resources, Inc.                     0.2732384024 0.0004838053
Alpha One Inc.                                   -0.2927674581 0.0004838053
Alpha Teknova, Inc.                              -0.1444047554 0.0004838053
alpha-En Corp                                    -0.0590385179 0.0004838053
Alphabet Inc.                                    -0.1385111680 0.0004838053
ALPHATECH INC                                    -0.0935596648 0.0004838053
Alpine Acquisition Corp.                         -0.0495059643 0.0004838053
Alpine Electronics, Inc.                         -0.0026395490 0.0004838053
ALPINE IMMUNE SCIENCES, INC.                     -0.1420034367 0.0004838053
ALPS ALPINE CO., LTD.                            -0.1645649601 0.0004838053
Alps Electric Co Ltd                             -0.2339380876 0.0004838053
