$contributor.employer.matched
                                              (Intercept)  cycle2020
EARTHWATCH INC                              -0.3628301441 0.07838961
EBIX INC                                    -0.4208924179 0.07838961
ECHELON CORP                                -0.5009907515 0.07838961
ECI TELECOM LTD/                            -0.3662654505 0.07838961
Ecoss Inc.                                  -0.5479111916 0.07838961
ECST Holdings Ltd                           -0.1653611880 0.07838961
EdgeWave, Inc.                              -0.5562719457 0.07838961
EDIFY CORP                                  -0.1395365850 0.07838961
EDO CORP                                    -0.3967740933 0.07838961
EDOCS INC                                   -0.5436715733 0.07838961
EF Johnson Technologies, Inc.               -0.4792863601 0.07838961
EGAIN Corp                                  -0.5409971898 0.07838961
Egenera, Inc.                               -0.5151543889 0.07838961
EIDOS PLC                                   -0.5219596711 0.07838961
ELCO Management Co., LLC                    -0.4190987688 0.07838961
ELECSYS CORP                                -0.7091370943 0.07838961
ELECTRONIC ARTS INC.                        -0.5268996450 0.07838961
ELECTRONICS FOR IMAGING INC                 -0.4773061839 0.07838961
ELLIE MAE INC                               -0.4648838400 0.07838961
EMAGIN CORP                                 -0.5601284598 0.07838961
EMBARCADERO TECHNOLOGIES INC                -0.1654340654 0.07838961
EMC CORP                                    -0.4533409430 0.07838961
EMCORE CORP                                 -0.3398441195 0.07838961
eMedia Group Inc.                           -0.3752124401 0.07838961
EMR Technology Solutions, Inc.              -0.4449162148 0.07838961
EMS TECHNOLOGIES INC                        -0.5103588310 0.07838961
Endava plc                                  -0.5790068440 0.07838961
Energous Corp                               -0.6466209458 0.07838961
ENERNOC INC                                 -0.4109032216 0.07838961
Enfusion, Inc.                              -0.5209358766 0.07838961
EngageSmart, Inc.                           -0.4587453623 0.07838961
ENOVA SYSTEMS INC                           -0.5687664349 0.07838961
Enphase Energy, Inc.                        -0.4722517213 0.07838961
ENTERPRISE ELECTRONICS CORP                 -0.1587627171 0.07838961
ENTERPRISE ENERGY, INC.                     -0.4661262826 0.07838961
ENTERWORKS INC                              -0.5123621363 0.07838961
ENTRATA, INC.                               -0.4260447411 0.07838961
ENTRUST INC                                 -0.1188154633 0.07838961
ENTWISTLE CO                                -0.5034932042 0.07838961
ENVIVIO INC                                 -0.3134006334 0.07838961
EPAM Systems, Inc.                          -0.3730019922 0.07838961
Epazz Inc                                   -0.4675244916 0.07838961
EPIC RESEARCH CO INC                        -0.4032407050 0.07838961
EPICOR SOFTWARE CORP                        -0.4510949116 0.07838961
Epicor, Inc.                                -0.4829791007 0.07838961
EPIQ SYSTEMS INC                            -0.5233176296 0.07838961
ESCO TECHNOLOGIES INC                       -0.6131780296 0.07838961
ESIM LTD                                    -0.4684641880 0.07838961
ESL Ltd                                     -0.6206500360 0.07838961
ESOFT INC                                   -0.4795606914 0.07838961
ESPEY MFG & ELECTRONICS CORP                -0.1040567260 0.07838961
ESS TECHNOLOGY INC                          -0.4577055522 0.07838961
ETOTALSOURCE INC                            -0.5187941411 0.07838961
Eventbrite, Inc.                            -0.5053278450 0.07838961
EVERBRIDGE, INC.                            -0.4246543505 0.07838961
EverCommerce Inc.                           -0.5331699123 0.07838961
EverQuote, Inc.                             -0.4636789546 0.07838961
EVERSPIN TECHNOLOGIES INC.                  -0.4526052220 0.07838961
EXA CORP                                    -0.1668478321 0.07838961
ExactTarget, Inc.                           -0.4163420642 0.07838961
EXAR CORP                                   -0.5589258315 0.07838961
EXCELON CORP                                -0.0505035317 0.07838961
EXCITE INC                                  -0.6473772078 0.07838961
EXE TECHNOLOGIES INC                         0.2081432932 0.07838961
Exelis Inc.                                 -0.2176829573 0.07838961
Expensify, Inc.                             -0.4634041553 0.07838961
Exponential Interactive, Inc.               -0.4571537673 0.07838961
EXRO TECHNOLOGIES INC.                      -0.4957443424 0.07838961
EXTREME NETWORKS INC                        -0.4110795054 0.07838961
Exyn Technologies, Inc.                     -0.4615258481 0.07838961
