$contributor.employer.matched
                                              (Intercept)  cycle2020
EMS TECHNOLOGIES INC                        -0.5103653367 0.07838962
Endava plc                                  -0.5790194519 0.07838962
Energous Corp                               -0.6466419829 0.07838962
ENERNOC INC                                 -0.4109039589 0.07838962
Enfusion, Inc.                              -0.5209552071 0.07838962
EngageSmart, Inc.                           -0.4587672209 0.07838962
ENOVA SYSTEMS INC                           -0.5688147524 0.07838962
Enphase Energy, Inc.                        -0.4722540828 0.07838962
ENTERPRISE ELECTRONICS CORP                 -0.1586748698 0.07838962
ENTERPRISE ENERGY, INC.                     -0.4661606462 0.07838962
ENTERWORKS INC                              -0.5124352145 0.07838962
ENTRATA, INC.                               -0.4260456965 0.07838962
ENTRUST INC                                 -0.1188097488 0.07838962
ENTWISTLE CO                                -0.5035588458 0.07838962
ENVIVIO INC                                 -0.3133071377 0.07838962
EPAM Systems, Inc.                          -0.3730018528 0.07838962
Epazz Inc                                   -0.4675599765 0.07838962
EPIC RESEARCH CO INC                        -0.4032402052 0.07838962
EPICOR SOFTWARE CORP                        -0.4510961571 0.07838962
Epicor, Inc.                                -0.4829805353 0.07838962
EPIQ SYSTEMS INC                            -0.5233197039 0.07838962
ESCO TECHNOLOGIES INC                       -0.6132290502 0.07838962
ESIM LTD                                    -0.4685005274 0.07838962
ESL Ltd                                     -0.6206636660 0.07838962
ESOFT INC                                   -0.4796063302 0.07838962
ESPEY MFG & ELECTRONICS CORP                -0.1039165958 0.07838962
ESS TECHNOLOGY INC                          -0.4577185409 0.07838962
ETOTALSOURCE INC                            -0.5188726415 0.07838962
Eventbrite, Inc.                            -0.5053296811 0.07838962
EVERBRIDGE, INC.                            -0.4246554048 0.07838962
EverCommerce Inc.                           -0.5331746285 0.07838962
EverQuote, Inc.                             -0.4636812806 0.07838962
EVERSPIN TECHNOLOGIES INC.                  -0.4526141081 0.07838962
EXA CORP                                    -0.1668201296 0.07838962
ExactTarget, Inc.                           -0.4163393562 0.07838962
EXAR CORP                                   -0.5589523483 0.07838962
EXCELON CORP                                -0.0503625528 0.07838962
EXCITE INC                                  -0.6474321687 0.07838962
EXE TECHNOLOGIES INC                         0.2083535293 0.07838962
Exelis Inc.                                 -0.2176794873 0.07838962
Expensify, Inc.                             -0.4634074848 0.07838962
Exponential Interactive, Inc.               -0.4571570902 0.07838962
EXRO TECHNOLOGIES INC.                      -0.4957578231 0.07838962
EXTREME NETWORKS INC                        -0.4110803900 0.07838962
Exyn Technologies, Inc.                     -0.4615452125 0.07838962
