$contributor.employer.matched
                                                   (Intercept)    cycle2020
ALLIED RESOURCES INC                             -0.2659247375 0.0004840761
ALLIED SECURITY INC                              -0.1257948439 0.0004840761
ALLIED VAN LINES INC                             -0.1553224989 0.0004840761
Allies Ltd                                       -0.1626517036 0.0004840761
Allogene Therapeutics, Inc.                      -0.2713376585 0.0004840761
Allot Ltd.                                       -0.1542602220 0.0004840761
ALLOY INC                                        -0.2271210559 0.0004840761
ALLSTATE CORP                                    -0.2467371169 0.0004840761
ALLSTATE FINANCIAL CORP                          -0.1371602003 0.0004840761
ALLSTATES WORLDCARGO INC                         -0.5003236423 0.0004840761
ALLSTREAM INC                                    -0.1828464505 0.0004840761
ALLTEL CORP                                       0.2236890953 0.0004840761
ALLURION TECHNOLOGIES, INC.                      -0.2689125885 0.0004840761
ALLWASTE INC                                     -0.2933611388 0.0004840761
Ally Financial Inc.                              -0.2664727514 0.0004840761
Alma Lasers Ltd.                                 -0.3084694772 0.0004840761
Almonty Industries Inc.                           1.6606812839 0.0004840761
ALMOST FAMILY INC                                -0.1018011625 0.0004840761
ALNYLAM PHARMACEUTICALS, INC.                    -0.2275950144 0.0004840761
ALOETTE COSMETICS INC                             0.5113006483 0.0004840761
Aloha Petroleum, Ltd.                            -0.2036874648 0.0004840761
ALPHA & OMEGA SEMICONDUCTOR Ltd                   0.7799089751 0.0004840761
ALPHA GENERATION INC                             -0.1765992386 0.0004840761
Alpha Natural Resources, Inc.                     0.2732491231 0.0004840761
Alpha One Inc.                                   -0.2927726631 0.0004840761
Alpha Teknova, Inc.                              -0.1444128474 0.0004840761
alpha-En Corp                                    -0.0590329421 0.0004840761
Alphabet Inc.                                    -0.1385115636 0.0004840761
ALPHATECH INC                                    -0.0935596036 0.0004840761
Alpine Acquisition Corp.                         -0.0494988017 0.0004840761
Alpine Electronics, Inc.                         -0.0026376432 0.0004840761
ALPINE IMMUNE SCIENCES, INC.                     -0.1420048516 0.0004840761
ALPS ALPINE CO., LTD.                            -0.1645730876 0.0004840761
Alps Electric Co Ltd                             -0.2339605596 0.0004840761
