$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
Coforge Ltd                                 -0.503671984 0.1212588 -0.004727251
Cogent, Inc.                                -0.564076921 0.1212588 -0.004727251
COGNIZANT TECHNOLOGY SOLUTIONS CORP         -0.596043342 0.1212588 -0.004727251
COGNOS INC                                  -0.585140479 0.1212588 -0.004727251
COMMAND SYSTEMS INC                         -0.603805120 0.1212588 -0.004727251
CommerceHub, Inc.                           -0.656274359 0.1212588 -0.004727251
COMMSCOPE INC                               -0.498562828 0.1212588 -0.004727251
COMMUNICATIONS & POWER INDUSTRIES LLC       -0.501544032 0.1212588 -0.004727251
COMMVAULT SYSTEMS INC                       -0.597035001 0.1212588 -0.004727251
COMPRESSION LABS INC                         0.018368450 0.1212588 -0.004727251
COMPUDYNE CORP                              -0.687105177 0.1212588 -0.004727251
COMPUSERVE CORP                             -0.520624179 0.1212588 -0.004727251
COMPUTER SCIENCES CORP                      -0.463804167 0.1212588 -0.004727251
Computer Software Innovations, Inc.         -0.535006867 0.1212588 -0.004727251
COMPUTER TASK GROUP INC                     -0.528786430 0.1212588 -0.004727251
COMPUWARE CORP                              -0.634376809 0.1212588 -0.004727251
COMTREX SYSTEMS CORP                         0.845488057 0.1212588 -0.004727251
CONCENTRA CORP                              -0.561750444 0.1212588 -0.004727251
CONCERO INC                                 -0.539221481 0.1212588 -0.004727251
CONCUR TECHNOLOGIES INC                     -0.651203642 0.1212588 -0.004727251
CONCURRENT COMPUTER CORP                    -0.739714207 0.1212588 -0.004727251
CONEXANT SYSTEMS INC                        -0.174285706 0.1212588 -0.004727251
Confluent, Inc.                             -0.554330627 0.1212588 -0.004727251
CONNECTED CORP                              -0.549244858 0.1212588 -0.004727251
CONNECTURE INC                              -0.699118422 0.1212588 -0.004727251
Consensus Cloud Solutions, Inc.             -0.585797261 0.1212588 -0.004727251
CONSILIUM INC                               -0.590294310 0.1212588 -0.004727251
CONSTELLATION SOFTWARE INC                  -0.485872959 0.1212588 -0.004727251
CONTINUUM CO INC                            -0.652476423 0.1212588 -0.004727251
CONTROL DEVICES INC                          0.322676636 0.1212588 -0.004727251
CONTROL4 CORP                               -0.611757591 0.1212588 -0.004727251
CONVERA Corp                                -0.578476308 0.1212588 -0.004727251
ConvergeOne Holdings, Inc.                  -0.433160805 0.1212588 -0.004727251
CONVERGEX INC.                              -0.546677637 0.1212588 -0.004727251
Convio, Inc.                                -0.570346164 0.1212588 -0.004727251
COORSTEK INC                                -0.572401255 0.1212588 -0.004727251
CORAL SYSTEMS INC                           -0.549276259 0.1212588 -0.004727251
CORCOM INC                                  -0.593506719 0.1212588 -0.004727251
CoreCard Corp                               -0.678523012 0.1212588 -0.004727251
COREL CORP                                  -0.512117550 0.1212588 -0.004727251
CoreWeave, Inc.                             -0.565317074 0.1212588 -0.004727251
Cornerstone OnDemand Inc                    -0.552627798 0.1212588 -0.004727251
Corridor Communications Corp                -0.598078585 0.1212588 -0.004727251
Corsair Components, Inc.                    -0.652988611 0.1212588 -0.004727251
Corsair Gaming, Inc.                        -0.576137753 0.1212588 -0.004727251
CORTINA SYSTEMS INC                         -0.572135575 0.1212588 -0.004727251
Couchbase, Inc.                             -0.566699832 0.1212588 -0.004727251
COUNTERPATH CORP                            -0.587234159 0.1212588 -0.004727251
Coupa Software Inc                          -0.453335047 0.1212588 -0.004727251
Coursera, Inc.                              -0.553543050 0.1212588 -0.004727251
CPI INTERNATIONAL, INC.                     -0.622472986 0.1212588 -0.004727251
CRAY COMPUTER CORP                          -0.505710337 0.1212588 -0.004727251
CRAY INC                                    -0.581758190 0.1212588 -0.004727251
CREATIVE REALITIES, INC.                    -0.560240025 0.1212588 -0.004727251
CREATIVE TECHNOLOGY LTD                     -0.609789644 0.1212588 -0.004727251
Cross Match Technologies, Inc.              -0.475209688 0.1212588 -0.004727251
CROSSCOMM CORP                              -0.522911112 0.1212588 -0.004727251
CROSSROADS SYSTEMS INC                      -0.243280138 0.1212588 -0.004727251
CROSSWORLDS SOFTWARE INC                    -0.114318349 0.1212588 -0.004727251
CrowdStrike Holdings, Inc.                  -0.592269183 0.1212588 -0.004727251
Crown Electrokinetics Corp.                 -0.401111387 0.1212588 -0.004727251
CS Disco, Inc.                              -0.602565193 0.1212588 -0.004727251
CSI TECHNOLOGIES INC                        -0.737558611 0.1212588 -0.004727251
CSRA Inc.                                   -0.652655407 0.1212588 -0.004727251
CTS CORP                                    -0.417721849 0.1212588 -0.004727251
CVC INC                                     -0.314672765 0.1212588 -0.004727251
CVENT INC                                   -0.606520978 0.1212588 -0.004727251
CYAN INC                                    -0.250100892 0.1212588 -0.004727251
CyberArk Software Ltd.                      -0.484492077 0.1212588 -0.004727251
CYBERLUX CORP                                0.028913742 0.1212588 -0.004727251
Cycurion, Inc.                              -0.552384172 0.1212588 -0.004727251
CYNET INC                                   -0.579408700 0.1212588 -0.004727251
Cyngn Inc.                                  -0.532359586 0.1212588 -0.004727251
CYREN Ltd.                                  -0.676512967 0.1212588 -0.004727251
